Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
34,Public,"River Side Road, Vittalvadi, Hingne Khurd, Pune, Maharashtra 411051, India",Constructed,PMC/035/PTB/196,"River Side Road, Vittalvadi, Hingne Khurd, Pune, Maharashtra 411051, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
35,Public," Sahakar Nagar,  Pune, Maharashtra 411009, India",Constructed,PMC/035/PTB/197,"6, Aranyeshwar chouk,Parvati Paitha,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
35,Public," Sant Nagar, Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/035/PTB/198,"Plot No. 8, Aranyeshwar Road, Sant Nagar, Annabhau Sathe Jhopadpatti Complex,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
35,Public," Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/035/PTB/199,"235, Golvalkar Guruji Path, Parvati Gaon,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
35,Public," Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/035/PTB/200,"81, Tulshibagwale Colony Road, Sahajeevan Society, Tulshibagwale Colony,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
35,Public," Parvati Paitha, Pune, Maharashtra 411009, India",Constructed,PMC/035/PTB/201,"26, Sivadarshan Poorgrasta Vasahat,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
36,Public,"Bibvewadi, Pune, Maharashtra 411037, India",Constructed,PMC/036/PTB/202,"682/B, Keshaorao Jedhe Road, Sangam Society.",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
36,Public,"636, Market Yard Road, Market Yard, Gultekdi, Pune, Maharashtra 411037, India",Constructed,PMC/036/PTB/203,"636, Market Yard Road, Market Yard, Gultekdi, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
36,Public,"7, Pune-Satara Road, Parsanees Colony, Maharshi Nagar, Pune, Maharashtra 411037, India",Constructed,PMC/036/PTB/204,"7, Pune-Satara Road, Parsanees Colony, Maharshi Nagar, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
36,Public,"548, Swami Vivekanand Road, Shivaji Nagar, Bibvewadi, Pune, Maharashtra 411037, India",Constructed,PMC/036/PTB/205,"548, Swami Vivekanand Road, Shivaji Nagar, Bibvewadi, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
37,Public,"642/7, Chintamani Nagar, Bibvewadi, Pune, Maharashtra 411037, India",Constructed,PMC/037/PTB/206,"642/7, Chintamani Nagar, Bibvewadi, Pune, Maharashtra 411037, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
38,Public,"22, Rajas Society, Kondhwa Budruk, Pune, Maharashtra 411046, India",Constructed,PMC/038/PTB/207,"22, Rajas Society, Kondhwa Budruk,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
39,Public,", Dhankawadi, Pune, Maharashtra 411043, India",Constructed,PMC/039/PTB/208,"2/4, Govindrao Patil Nagar, Ramchandra Nagar, Jyoti Park",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
39,Public,"Teen Hatti Chowk Road, Ramchandra Nagar, Pratibha Nagar, Dhankawadi, Pune, Maharashtra 411043, India",Constructed,PMC/039/PTB/209,"Teen Hatti Chowk Road, Ramchandra Nagar, Pratibha Nagar, Dhankawadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"Dhankawadi, Pune, Maharashtra 411046, India",Constructed,PMC/040/PTB/210,"Mumbai Pune Bypass Road, Chandrabhaga Nagar, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"29/44, Pune - Bengaluru Hwy, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",Constructed,PMC/040/PTB/211,"29/44, Pune - Bengaluru Hwy, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"32/1/1, Dhankawadi Road, Girinagar Society, Anand Nagar, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",Constructed,PMC/040/PTB/212,"32/1/1, Dhankawadi Road, Girinagar Society, Anand Nagar, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"Pune - Bengaluru Hwy, Katraj, Pune, Maharashtra 411046, India",Constructed,PMC/040/PTB/213,"Pune - Bengaluru Hwy, Katraj, Pune, Maharashtra 411046, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"137/7, Pune - Bengaluru Hwy, Kanchan Nagari, Katraj, Pune, Maharashtra 411046, India",Constructed,PMC/040/PTB/214,"137/7, Pune - Bengaluru Hwy, Kanchan Nagari, Katraj, Pune, Maharashtra 411046, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"29/44, Pune - Bengaluru Hwy, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",Constructed,PMC/040/PTB/215,"29/44, Pune - Bengaluru Hwy, Kala Nagar, Dhankawadi, Pune, Maharashtra 411043, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
40,Public,"12, Medical College Road, Shriram Nagar, Dhankawadi, Pune, Maharashtra 411046, India",Constructed,PMC/040/PTB/216,"12, Medical College Road, Shriram Nagar, Dhankawadi, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
41,Public,"102, Katraj - Kondhwa Road, Kondhwa Budruk, Pune, Maharashtra 411048, India",Constructed,PMC/041/PTB/217,"102, Katraj - Kondhwa Road, Kondhwa Budruk, Pune, Maharashtra 411048, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
,Public," Kondhwa Budruk, Pune, Maharashtra 411046, India",Constructed,," Kondhwa Budruk, Pune, Maharashtra 411046, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
,Public," Viman Nagar, Pune, Maharashtra 411014, India",Constructed,," Viman Nagar, Pune, Maharashtra 411014, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
1,Community,vishranit wadi,Constructed,PMC/001/CTB/001,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,kalas,Constructed,PMC/001/CTB/003,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,kalas gaothan,Constructed,PMC/001/CTB/005,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,vishranit wadi,Constructed,PMC/001/CTB/006,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,Vishrantwadi,Constructed,PMC/001/CTB/007,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,vishranit wadi,Constructed,PMC/001/CTB/008,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,Vishrantwadi,Constructed,PMC/001/CTB/009,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,vishrnit wadi,Constructed,PMC/001/CTB/010,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
1,Community,vishrnit wadi,Constructed,PMC/001/CTB/013,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,jadhav nagar,Constructed,PMC/002/CTB/014,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,jadhav nagar,Constructed,PMC/002/CTB/015,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,jadhav nagar,Constructed,PMC/002/CTB/016,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,panchshil nagar,Constructed,PMC/002/CTB/017,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,panchshil nagar,Constructed,PMC/002/CTB/018,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,panchashil nagar,Constructed,PMC/002/CTB/019,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,panchshil nagar,Constructed,PMC/002/CTB/020,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,hiraman moze nagar,Constructed,PMC/002/CTB/021,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,kamgar nagar,Constructed,PMC/002/CTB/022,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,shramik vasahat,Constructed,PMC/002/CTB/023,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,shrmik vasahat,Constructed,PMC/002/CTB/024,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chawl,Constructed,PMC/002/CTB/025,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,Bhaje market,Constructed,PMC/002/CTB/026,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chwal,Constructed,PMC/002/CTB/028,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chawl,Constructed,PMC/002/CTB/030,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chawl,Constructed,PMC/002/CTB/031,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chwal,Constructed,PMC/002/CTB/032,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nitagee nagar,Constructed,PMC/002/CTB/033,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chawl,Constructed,PMC/002/CTB/034,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagpur chwal,Constructed,PMC/002/CTB/035,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,Katarwadi,Constructed,PMC/002/CTB/036,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
2,Community,nagapur chawl,Constructed,PMC/002/CTB/037,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
3,Community,gandhi nagar,Constructed,PMC/003/CTB/035,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
3,Community,gandhi nagar,Constructed,PMC/003/CTB/036,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
3,Community,gandhi nagar,Constructed,PMC/003/CTB/037,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/050,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/051,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/052,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/053,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/054,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/055,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community, laxmi nagar,Constructed,PMC/006/CTB/056,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ganesh nagar,Constructed,PMC/006/CTB/057,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ganesh nagar,Constructed,PMC/006/CTB/058,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ashok nagar,Constructed,PMC/006/CTB/059,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ashok nagar,Constructed,PMC/006/CTB/060,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ashok nagar,Constructed,PMC/006/CTB/061,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ashok nagar,Constructed,PMC/006/CTB/062,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ashok nagar,Constructed,PMC/006/CTB/063,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,shivraj chowk,Constructed,PMC/006/CTB/064,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,gaiwada,Constructed,PMC/006/CTB/065,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/066,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,Kamraj Nagar,Constructed,PMC/006/CTB/067,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,Kamraj Nagar,Constructed,PMC/006/CTB/068,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,jay javan nagar,Constructed,PMC/006/CTB/069,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,jay javan nagar,Constructed,PMC/006/CTB/070,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,jay jawan nagar,Constructed,PMC/006/CTB/071,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,jay javan nagar,Constructed,PMC/006/CTB/072,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,pandu laman vasti,Constructed,PMC/006/CTB/073,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,church koti,Constructed,PMC/006/CTB/074,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ram nagar,Constructed,PMC/006/CTB/075,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ram nagar,Constructed,PMC/006/CTB/076,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ram nagar,Constructed,PMC/006/CTB/077,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,ram nagar,Constructed,PMC/006/CTB/078,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar ,Constructed,PMC/006/CTB/079,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/080,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/081,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/082,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/083,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/084,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/085,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/086,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,yeshwant nagar,Constructed,PMC/006/CTB/089,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,yeshwant nagar,Constructed,PMC/006/CTB/090,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
6,Community,laxmi nagar,Constructed,PMC/006/CTB/091,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,dharmwadi jaanwadi prabhag no 11,Constructed,PMC/007/CTB/093,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,jaanta vasahat ,Constructed,PMC/007/CTB/094,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,Indira Vasahat,Constructed,PMC/007/CTB/095,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,Kasturba,Constructed,PMC/007/CTB/096,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,jaanwadi5,Constructed,PMC/007/CTB/097,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,jaanwadi ,Constructed,PMC/007/CTB/098,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,jaanwadi ,Constructed,PMC/007/CTB/099,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,jaan wadi ,Constructed,PMC/007/CTB/100,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,lalchaul ,Constructed,PMC/007/CTB/101,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,chaturhringi,Constructed,PMC/007/CTB/102,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,waidwadi ,Constructed,PMC/007/CTB/103,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,khairwadi ,Constructed,PMC/007/CTB/104,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,khairwadi ,Constructed,PMC/007/CTB/105,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,khairwadi ,Constructed,PMC/007/CTB/106,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,bhaiya wadi ,Constructed,PMC/007/CTB/107,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,bhaiya wadi ,Constructed,PMC/007/CTB/108,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,natawadi gaonthan ,Constructed,PMC/007/CTB/109,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,vishnu krupa nagar ,Constructed,PMC/007/CTB/110,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,plot no 11 shivaji ,Constructed,PMC/007/CTB/111,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,gool gher,Constructed,PMC/007/CTB/112,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,janwadi,Constructed,PMC/007/CTB/113,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,sangam wadi ,Constructed,PMC/007/CTB/114,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,sangam wadi ,Constructed,PMC/007/CTB/115,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,sangam wadi ,Constructed,PMC/007/CTB/116,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,sangam wadi ,Constructed,PMC/007/CTB/117,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,Rajiv Gandhi nagar ,Constructed,PMC/007/CTB/118,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,viliam nagar ,Constructed,PMC/007/CTB/119,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,viliam nagar ,Constructed,PMC/007/CTB/120,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,bhosale wadi ,Constructed,PMC/007/CTB/121,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil estate ,Constructed,PMC/007/CTB/122,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil estate ,Constructed,PMC/007/CTB/123,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil estate ,Constructed,PMC/007/CTB/124,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil estate ,Constructed,PMC/007/CTB/125,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil estate ,Constructed,PMC/007/CTB/126,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patkar plot ,Constructed,PMC/007/CTB/127,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
7,Community,patil wasti,Constructed,PMC/007/CTB/128,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhohite vasti ,Constructed,PMC/008/CTB/129,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi,Constructed,PMC/008/CTB/130,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhohite vasti ,Constructed,PMC/008/CTB/131,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhohite vasti ,Constructed,PMC/008/CTB/132,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,indira nagar bhohite vasti,Constructed,PMC/008/CTB/133,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,dabar chal,Constructed,PMC/008/CTB/134,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,gandhi nagar vasti ,Constructed,PMC/008/CTB/135,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,gandhi nagar vasti ,Constructed,PMC/008/CTB/136,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhau patil chal ,Constructed,PMC/008/CTB/137,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhau patil chal ,Constructed,PMC/008/CTB/138,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,devibai chal bopodi,Constructed,PMC/008/CTB/139,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhori chal,Constructed,PMC/008/CTB/140,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bhori chal,Constructed,PMC/008/CTB/141,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi gav than ,Constructed,PMC/008/CTB/142,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi gav than ,Constructed,PMC/008/CTB/143,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,gurav chal Sr no  43,Constructed,PMC/008/CTB/144,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,naik chal,Constructed,PMC/008/CTB/145,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,ambedkar ,Constructed,PMC/008/CTB/146,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi gaonthan ,Constructed,PMC/008/CTB/147,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi gaonthan,Constructed,PMC/008/CTB/148,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,Wakhare,Constructed,PMC/008/CTB/149,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi gaothan,Constructed,PMC/008/CTB/150,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,Wakhare Vasti,Constructed,PMC/008/CTB/151,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,warje,Constructed,PMC/008/CTB/152,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
8,Community,bopodi,Constructed,PMC/008/CTB/153,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
9,Community,laman tanda ,Constructed,PMC/009/CTB/154,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
9,Community,laman tanda ,Constructed,PMC/009/CTB/155,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
9,Community,someshwarwadi ,Constructed,PMC/009/CTB/156,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
9,Community,someshwarwadi ,Constructed,PMC/009/CTB/157,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community, shastri nagar shrikushna colony,Constructed,PMC/010/CTB/158,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,peruka bag shastri nagar,Constructed,PMC/010/CTB/159,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,sainath vasahat,Constructed,PMC/010/CTB/160,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shivanjali ,Constructed,PMC/010/CTB/161,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar,Constructed,PMC/010/CTB/162,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar,Constructed,PMC/010/CTB/163,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar,Constructed,PMC/010/CTB/164,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar d5 chawl,Constructed,PMC/010/CTB/165,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar,Constructed,PMC/010/CTB/166,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shastri nagar,Constructed,PMC/010/CTB/167,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shashtri nagar,Constructed,PMC/010/CTB/168,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
10,Community,shashtri nagar,Constructed,PMC/010/CTB/169,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/170,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/171,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/172,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/173,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/174,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/175,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
11,Community,kelwadi,Constructed,PMC/011/CTB/176,,Yes,user fee+CSR+grand fund,manual feedback,Yes,Yes,,,,
