Ward No.,Community/Public,Location of all the Public Toilets,"Status of the Toilet
(Constructed/Under Construction)","Unique ID of CT/PT
 (if th ULB says YES in the above question)","Landmark
(Nearest Residential Area/
Commercial Area)",Whether the PTU has been monitized?,Type of Monitization,ICT Feedback device (wall mounted) installed?,,,,,Located on Google Maps,"Whether IEC Messaging (Suresh Raina - Swachh Sauchalaya) of
 MoUD 2017 is avaiable at the CT/PT? "
8,Public,"5, Sangvi Kesri Road, Ward No. 8, Aundh, Pune, Maharashtra 411027, India",Constructed,PMC/008/PTB/052,"5, Sangvi Kesri Road, Ward No. 8, Aundh, Pune, Maharashtra 411027, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
8,Public," Aundh, Pune, Maharashtra 411007, India",Constructed,PMC/008/PTB/053," Aundh, Pune, Maharashtra 411007, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
10,Public," Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/010/PTB/054,"8 B, Paud Road, Lokmanya Colony,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
10,Public,"B-1 A, Bharti Nagar, Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/010/PTB/055,"B-1 A, Bharti Nagar, Kothrud, Pune, Maharashtra 411038, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
10,Public,"B12, Chintamani Paradise, Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/010/PTB/056,"B12, Chintamani Paradise, Kothrud, Pune, Maharashtra 411038, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
10,Public,"Paud Road, Chandani Chowk, Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/010/PTB/057,"Paud Road, Chandani Chowk, Kothrud, Pune, Maharashtra 411038, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
11,Public," Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/011/PTB/058,"R-1/4, Paud Road, Kalewadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
11,Public,", Erandwane, Pune, Maharashtra 411004, India",Constructed,PMC/011/PTB/059,"B/1, Krishna Nagar Housing Society, Erandwana Gaothan",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
11,Public,"1, Off Paud Phata Road, Pandurang Colony, Erandwane, Pune, Maharashtra 411004, India",Constructed,PMC/011/PTB/060,"1, Off Paud Phata Road, Pandurang Colony, Erandwane, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
11,Public,"Chavan Bridge, Ganjwe Wadi, Erandwane, Pune, Maharashtra 411030, India",Constructed,PMC/011/PTB/061,"Chavan Bridge, Ganjwe Wadi, Erandwane, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
12,Public,"775/8, Warje Malwadi Road, Mayur Colony, Kothrud, Pune, Maharashtra 411038, India",Constructed,PMC/012/PTB/062,"775/8, Warje Malwadi Road, Mayur Colony, Kothrud, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
13,Public," Erandwane, Pune, Maharashtra 411004, India",Constructed,PMC/013/PTB/063,"20/21 P 11, Vakil Nagar,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
13,Public,"Jogging Track, Anurekha Society, Ganesh Nagar, Karve Nagar, Pune, Maharashtra 411052, India",Constructed,PMC/013/PTB/064,"Jogging Track, Anurekha Society, Ganesh Nagar, Karve Nagar, Pune, Maharashtra 411052, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
13,Public,"5, Himali Society, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",Constructed,PMC/013/PTB/065,"5, Himali Society, Vakil Nagar, Erandwane, Pune, Maharashtra 411004, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public," Deccan Gymkhana, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/066,"1, furgusan College Road,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public," Deccan Gymkhana, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/067,"659, Pulachi Wadi Road, Pulachi Wadi,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"Gokhalenagar, Pune, Maharashtra 411053, India",Constructed,PMC/014/PTB/068,,yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"917/23 A, Bmcc Road, Deccan Gymkhana, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/069,"917/23 A, Bmcc Road, Deccan Gymkhana, Pune, Maharashtra 411004, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"63, Shivaji Co operative Housing Society, Bhageerath, Gokhalenagar, Pune, Maharashtra 411053, India",Constructed,PMC/014/PTB/070,"63, Shivaji Co operative Housing Society, Bhageerath, Gokhalenagar, Pune, Maharashtra 411053, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"1062, Pulachi Wadi, Sadashiv Peth, Pune, Maharashtra 411030, India",Constructed,PMC/014/PTB/071,"1062, Pulachi Wadi, Sadashiv Peth, Pune, Maharashtra 411030, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"569, Congress House Road, Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/014/PTB/072,"569, Congress House Road, Shivajinagar, Pune, Maharashtra 411005, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"773/A, Deccan Gymkhana, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/073,"773/A, Deccan Gymkhana, Pune, Maharashtra 411004, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"Gadgil Bridge, Pulachi Wadi, Shivajinagar, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/074,"Gadgil Bridge, Pulachi Wadi, Shivajinagar, Pune, Maharashtra 411004, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"1206, Jangali Maharaj Road, Shivajinagar, Pune, Maharashtra 411004, India",Constructed,PMC/014/PTB/075,"1206, Jangali Maharaj Road, Shivajinagar, Pune, Maharashtra 411004, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"MH SH 114, Narveer Tanaji Wadi, Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/014/PTB/076,"MH SH 114, Narveer Tanaji Wadi, Shivajinagar, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
14,Public,"Ashwini Society Road, Corporation Colony, Shivajinagar, Pune, Maharashtra 411005, India",Constructed,PMC/014/PTB/077,"Ashwini Society Road, Corporation Colony, Shivajinagar, Pune, Maharashtra 411005, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public," Sadashiv Peth, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/078,"Chhatrapati Sambhaji Maharaj Road, Pantancha Goat",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"Sadashiv Peth, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/079,"1071/70, Vedacharya Pathak Guruji Road, Perugate, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public," Shaniwar Peth, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/080,"264/1, Chandrashekhar Agashe Path,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public," Sadashiv Peth, Pune, Maharashtra 411002, India",Constructed,PMC/015/PTB/081,"1117, Shivaji Road, Subhash Nagar,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public," Sadashiv Peth, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/082,"5, Ashok Balakwade Path, Navi Peth,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"3, Shukrawar Peth - Mahatma Gandhi Road, Shukrawar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/015/PTB/083,"3, Shukrawar Peth - Mahatma Gandhi Road, Shukrawar Peth, Pune, Maharashtra 411002, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"Laxmi Nagar Road, Dandekar Pool, Municipal Colony, Pune, Maharashtra 411030, India",Constructed,PMC/015/PTB/084,"Laxmi Nagar Road, Dandekar Pool, Municipal Colony, Pune, Maharashtra 411030, India",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"305, Madhukar Chimanrav Potnis Road, Sathe Colony, Shukrawar Peth, Pune, Maharashtra 411002, India",Constructed,PMC/015/PTB/085,"305, Madhukar Chimanrav Potnis Road, Sathe Colony, Shukrawar Peth,",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
15,Public,"Baba Bhide Bridge, Pulachi Wadi, Narayan Peth, Pune, Maharashtra 411004, India",Constructed,PMC/015/PTB/086,"Baba Bhide Bridge, Pulachi Wadi, Narayan Peth, ",yes,user fee+CSR +grand fund,ICT Feedback system is in place,Yes,Yes,,,,
